loggin | 2021-07-22 12:30:26,804 | ERROR | This is an error message
loggin | 2021-07-22 12:30:26,804 | CRITICAL | Dheeraj File
loggin | 2021-08-02 22:09:45,621 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-02 22:09:45,621 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-02 22:09:47,142 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-02 22:09:47,142 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-02 22:24:17,395 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-02 22:24:17,395 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-02 22:24:17,407 | ERROR | Error inserting
loggin | 2021-08-02 22:24:17,407 | ERROR | Error inserting
loggin | 2021-08-02 22:24:17,417 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-02 22:24:17,417 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-02 22:24:20,514 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-02 22:24:20,514 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-02 22:24:20,527 | ERROR | Error inserting
loggin | 2021-08-02 22:24:20,527 | ERROR | Error inserting
loggin | 2021-08-02 22:24:20,534 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
